Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	root	root	Image	Polygon	4856.9	3981.5	997	0	0	2564	2007	557	21.72	13.2	42205029.7	43406.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	4866.3	3871.6	8	997	0	2564	2007	557	21.72	15.02	37088775.9	94778.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5468.4	5080.9	512	8	0	0	0	0	NaN	0	97152.1	4393.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4424.4	3473.3	567	8	0	0	0	0	NaN	0	15334711.8	39429.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4424.4	3473.3	688	567	0	0	0	0	NaN	0	15334711.8	39429.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4424.4	3473.3	695	688	0	0	0	0	NaN	0	15334711.8	39429.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	3805.4	2133.4	315	695	0	0	0	0	NaN	0	4080339.1	19135.2
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	1065.3	2938.5	541	315	0	0	0	0	NaN	0	502810.6	4030.8
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	1215.5	3068.3	289	541	0	0	0	0	NaN	0	100460.9	1749.6
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	950.39	2870.3	97	541	0	0	0	0	NaN	0	152417.9	3581.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Polygon	1047.3	2918.9	1127	541	0	0	0	0	NaN	0	185112.5	2982.3
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Geometry	1335.6	3174.9	729	541	0	0	0	0	NaN	0	2033.3	240.31
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Polygon	1149.4	2945.7	234	541	0	0	0	0	NaN	0	62786.2	1990.4
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	953.5	3557.1	895	315	0	0	0	0	NaN	0	307213.2	3203.5
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 6b	ECT6b	Ectorhinal area	Geometry	1351.7	3483.7	1045	895	0	0	0	0	NaN	0	11139.3	744.22
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Polygon	598.06	3780.4	836	895	0	0	0	0	NaN	0	57053.2	1203.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Geometry	800.4	3594.3	427	895	0	0	0	0	NaN	0	89222.7	1440.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 6a	ECT6a	Ectorhinal area	Geometry	1277.5	3434.7	977	895	0	0	0	0	NaN	0	53356.7	1282
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Ectorhinal area/Layer 5	ECT5	Ectorhinal area	Geometry	1080.6	3466.6	988	895	0	0	0	0	NaN	0	96441.4	1573.1
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Perirhinal area	PERI	Isocortex	Geometry	905.69	3873.8	922	315	0	0	0	0	NaN	0	181347	2663.9
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Geometry	655.64	4072	540	922	0	0	0	0	NaN	0	32857.5	980.38
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Perirhinal area, layer 6a	PERI6a	Perirhinal area	Geometry	1181.8	3730.2	335	922	0	0	0	0	NaN	0	26802.9	909.58
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Perirhinal area, layer 6b	PERI6b	Perirhinal area	Geometry	1291.7	3675.1	368	922	0	0	0	0	NaN	0	4725.5	367.96
JKAY22.3e_2_Scan1_[4291,35714]_component_data_merged_Region 1.ome.tif	Perirhinal area, layer 2/3	PERI2/3	Perirhinal area	Polygon	811.3	3907.1	888	922	0	0	0	0	NaN	0	66533.4	1198
