Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5454.7	3762.5	997	0	0	3108	2787	321	10.33	6.283	51088888.4	39263.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5477.3	3661.8	8	997	0	3105	2784	321	10.34	7.066	45428494.2	101054.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5548	3614.6	567	8	0	0	0	0	NaN	0	28704296.2	65140.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5548	3614.6	688	567	0	0	0	0	NaN	0	28704296.2	65140.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5526.4	3563.7	695	688	0	0	0	0	NaN	0	28079873.4	67764.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5580	4217.4	1089	695	0	0	0	0	NaN	0	12853659.6	33703.5
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5937.2	4361	1080	1089	0	0	0	0	NaN	0	8544596.4	20457.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5399.2	4142.5	726	1080	0	0	0	0	NaN	0	2848561.7	20493.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5269	4097	632	726	0	0	0	0	NaN	0	651039.6	16252.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5620.7	4117.5	10703	726	0	0	0	0	NaN	0	1858709.9	24735.1
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	4433.7	4366.9	10704	726	0	0	0	0	NaN	0	338812.2	7461.3
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	6206.3	4470.3	375	1080	0	0	0	0	NaN	0	5696034.8	24728.7
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	6176.5	4407.7	382	375	0	0	0	0	NaN	0	4197477	16225
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	6289.8	4645.6	463	375	0	0	0	0	NaN	0	1498557.7	8503.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4871.9	3935	822	1089	0	0	0	0	NaN	0	4284233	22416.6
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Prosubiculum	ProS	Retrohippocampal region	Geometry	5077.7	2994.9	484682470	822	0	0	0	0	NaN	0	337275.1	3748.3
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Postsubiculum	POST	Retrohippocampal region	Geometry	4384.9	2434	1037	822	0	0	0	0	NaN	0	863053.7	7872.2
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Hippocampo-amygdalar transition area	HATA	Retrohippocampal region	Geometry	5089.7	6025.9	589508447	822	0	0	0	0	NaN	0	245755.7	3044.9
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	4992.2	4905.1	909	822	0	0	0	0	NaN	0	2060989.3	8492.8
JKAY22.3f_2_Scan1_[5873,46306]_component_data_merged_Region 2.ome.tif	Entorhinal area, lateral part	ENTl	Entorhinal area	Geometry	4992.2	4905.1	918	909	0	0	0	0	NaN	0	2060989.3	8492.8
