Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	root	root	Image	Geometry	4763.7	3732.3	997	0	0	4630	3636	994	21.47	27.32	36378627.6	41571.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	4775.8	3615.3	8	997	0	4615	3631	984	21.32	30.2	32578971.4	85294.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	2431	4194.7	512	8	0	0	0	0	NaN	0	1292178.3	10344.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	1976.4	4119.7	528	512	0	0	0	0	NaN	0	1034525.2	5973.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	1766.4	4274.1	1073	528	0	0	0	0	NaN	0	561978	4705.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Flocculus	FL	Hemispheric regions	Polygon	1554.2	4887.7	1049	1073	0	0	0	0	NaN	0	302024.5	2230.1
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	2013.3	3560.7	1007	1073	0	0	0	0	NaN	0	259953.4	2475.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	2226.2	3936.2	645	528	0	0	0	0	NaN	0	472547.2	2970.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Culmen	CUL	Vermal regions	Geometry	2226.2	3936.2	928	645	0	0	0	0	NaN	0	472547.2	2970.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	2226.2	3936.2	1091	928	0	0	0	0	NaN	0	472547.2	2970.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5886.1	2725.2	567	8	0	0	0	0	NaN	0	9288827.2	19967.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5886.1	2725.2	688	567	0	0	0	0	NaN	0	9288827.2	19967.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5886.1	2725.2	695	688	0	0	0	0	NaN	0	9288827.2	19967.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5440.9	1607	315	695	0	0	0	0	NaN	0	3181257.9	12757.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Visual areas	VIS	Isocortex	Geometry	5574.8	1633.4	669	315	0	0	0	0	NaN	0	2546164.3	13931.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	7910.1	1878	312782628	669	0	0	0	0	NaN	0	380729.1	3543.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Polygon	8123.4	1846.2	312782636	312782628	0	0	0	0	NaN	0	184840.2	2177.1
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	7666.2	1917.4	312782632	312782628	0	0	0	0	NaN	0	161008.2	3295.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Geometry	7905.8	1865	312782644	312782628	0	0	0	0	NaN	0	34881.3	939.97
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Primary visual area	VISp	Visual areas	Geometry	5126.1	1288	385	669	0	0	0	0	NaN	0	1182755.3	7678
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Polygon	6837.8	1175.3	778	385	0	0	0	0	NaN	0	60408.2	1387.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	6219.2	976.7	821	385	0	0	0	0	NaN	0	356077.6	4421.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	3872.9	1554.6	593	385	0	0	0	0	NaN	0	606450	7910.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 4.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Polygon	6799.4	1012.4	721	385	0	0	0	0	NaN	0	159819.8	2262.9
