Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	root	root	Image	Geometry	4798.1	3679.7	997	0	0	1163	922	241	20.72	6.288	38329156.8	44392
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Basic cell groups and regions	grey	root	Geometry	4827.3	3561.9	8	997	0	1163	922	241	20.72	6.991	34473334.4	88857.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	2603.2	4648.2	512	8	0	0	0	0	NaN	0	272109.7	5815.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	1797.4	4653.5	528	512	0	0	0	0	NaN	0	144091.1	1718.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	1797.4	4653.5	1073	528	0	0	0	0	NaN	0	144091.1	1718.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	1797.4	4653.5	1049	1073	0	0	0	0	NaN	0	144091.1	1718.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5570.3	3021.9	567	8	0	0	0	0	NaN	0	11849032.7	23657.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5570.3	3021.9	688	567	0	0	0	0	NaN	0	11849032.7	23657.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5570.3	3021.9	695	688	0	0	0	0	NaN	0	11849032.7	23657.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5790.7	1604.2	315	695	0	0	0	0	NaN	0	3315598	15483.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Visual areas	VIS	Isocortex	Geometry	6159	1689.9	669	315	0	0	0	0	NaN	0	2474201.9	15803.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	7557.7	2372.7	312782628	669	0	0	0	0	NaN	0	627348.5	5033.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	7755.7	2363.5	312782636	312782628	0	0	0	0	NaN	0	261221.8	3745.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	6890.2	2471.8	312782632	312782628	0	0	0	0	NaN	0	209709.7	4562.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 5.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Geometry	8126.6	2271.7	312782644	312782628	0	0	0	0	NaN	0	148822.7	2052
