Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	dmPAG	PAG_subregions	Image	Polygon	4035.3	1839.6	NaN	NaN	NaN	20	7	13	65	34.77	373911.1	2794.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	4524.8	2085.6	NaN	NaN	NaN	62	5	57	91.94	206.62	275867.6	2233.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	3576.7	2112.5	NaN	NaN	NaN	0	0	0	NaN	0	194032.6	1778.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	3333.5	2570.7	NaN	NaN	NaN	10	10	0	0	0	307783.6	2375.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	4388.1	3172.6	NaN	NaN	NaN	417	28	389	93.29	732.47	531078.2	4149.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	4710.1	2603.6	NaN	NaN	NaN	342	98	244	71.35	457.79	533000.4	2942.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	3545.3	3061.6	NaN	NaN	NaN	76	16	60	78.95	144.66	414774.9	3787.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Image	Geometry	4984.3	1439.3	315	695	0	0	0	0	NaN	0	1408924.3	8699.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	4816.4	1489	669	315	0	0	0	0	NaN	0	1210877	9004.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Polygon	7358.8	1927.4	312782628	669	0	0	0	0	NaN	0	145023.9	1982.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Polygon	7297	1928.2	312782636	312782628	0	0	0	0	NaN	0	68285.1	1494.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Polygon	7414.2	1926.7	312782632	312782628	0	0	0	0	NaN	0	76710.4	1901.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 5	VISpor5	Postrhinal area	Polygon	7124.7	1869.3	312782644	312782628	0	0	0	0	NaN	0	28.16	25.91
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Primary visual area	VISp	Visual areas	Geometry	5154.7	1082.3	385	669	0	0	0	0	NaN	0	451251.5	4273.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	6299.9	1027.3	821	385	0	0	0	0	NaN	0	172846.9	2239.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	4301.9	1107.4	593	385	0	0	0	0	NaN	0	259470.7	4264
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Polygon	6389.4	1239	721	385	0	0	0	0	NaN	0	18933.8	686.25
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Posterolateral visual area	VISpl	Visual areas	Geometry	3968	1684.2	425	669	0	0	0	0	NaN	0	614602.1	5384.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 2/3	VISpl2/3	Posterolateral visual area	Geometry	6638.1	1500.1	269	425	0	0	0	0	NaN	0	140361.2	3025.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 4	VISpl4	Posterolateral visual area	Polygon	6658.8	1464.5	869	425	0	0	0	0	NaN	0	43739.4	2245.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 5	VISpl5	Posterolateral visual area	Geometry	6673.2	1579.7	902	425	0	0	0	0	NaN	0	102305.1	1806.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 1	VISpl1	Posterolateral visual area	Geometry	1624.3	1824.9	750	425	0	0	0	0	NaN	0	328196	4576.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area	RSP	Isocortex	Geometry	6010.8	1135	254	315	0	0	0	0	NaN	0	198047.4	2806.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area, dorsal part	RSPd	Retrosplenial area	Geometry	6133.4	1430.7	879	254	0	0	0	0	NaN	0	43915.1	1490
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area, dorsal part, layer 1	RSPd1	Retrosplenial area, dorsal part	Geometry	6133.4	1430.7	442	879	0	0	0	0	NaN	0	43915.1	1490
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area, lateral agranular part	RSPagl	Retrosplenial area	Polygon	5976	1050.9	894	254	0	0	0	0	NaN	0	154132.5	1961.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area, lateral agranular part, layer 1	RSPagl1	Retrosplenial area, lateral agranular part	Polygon	5872	995.98	671	894	0	0	0	0	NaN	0	84620.2	1641.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Retrosplenial area, lateral agranular part, layer 2/3	RSPagl2/3	Retrosplenial area, lateral agranular part	Polygon	6102.7	1117.8	965	894	0	0	0	0	NaN	0	69512.3	1438.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Image	Geometry	2142.2	3690.4	512	8	0	0	0	0	NaN	0	2466662.7	15639.6
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	1660.5	3623.7	528	512	0	0	0	0	NaN	0	2054698.3	10562.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	1556.7	3657.2	1073	528	0	0	0	0	NaN	0	1343650.6	8512
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	766.07	4085	1041	1073	0	0	0	0	NaN	0	28485.3	745.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	2152.2	4525.8	1049	1073	0	0	0	0	NaN	0	496877.7	3989.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	1222.9	3114.7	1007	1073	0	0	0	0	NaN	0	818287.9	4290.7
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	1856.8	3560.4	645	528	0	0	0	0	NaN	0	711047.7	4809.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Geometry	1856.8	3560.4	928	645	0	0	0	0	NaN	0	711047.7	4809.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	1856.8	3560.4	1091	928	0	0	0	0	NaN	0	711047.7	4809.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Brain stem	BS	Image	Geometry	3789.6	3891.5	343	8	0	924	163	761	82.36	32.52	23403837.6	62667
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Hindbrain	HB	Brain stem	Geometry	3618	5172.1	1065	343	0	8	1	7	87.5	0.5582	12540092.7	49670.8
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Pons	P	Hindbrain	Geometry	3652.9	5124.7	771	1065	0	8	1	7	87.5	0.6009	11648990.2	42054.3
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	3997	4486.2	1117	771	0	8	1	7	87.5	5.718	1224120.7	11239.4
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	4174.6	4743.6	146	1117	0	0	0	0	NaN	0	545876	5031.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Laterodorsal tegmental nucleus	LDT	Pons, behavioral state related	Geometry	3797.7	3297.9	162	1117	0	8	1	7	87.5	27.9	250912.4	2980.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Geometry	3880.2	4886.6	679	1117	0	0	0	0	NaN	0	230765.7	4135.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Polygon	3896	4818.1	238	1117	0	0	0	0	NaN	0	196567	2360.1
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	3555	5023	1132	771	0	0	0	0	NaN	0	3541752.8	22823.2
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Geometry	3064.6	5181.3	7	1132	0	0	0	0	NaN	0	872696.1	5844.9
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Parabrachial nucleus	PB	Pons, sensory related	Geometry	3729.8	3991.1	867	1132	0	0	0	0	NaN	0	1505802.9	9826.5
JKAY22.3f_3_Scan1_[4964,30744]_component_data_merged_Region 1.ome.tif	Koelliker-Fuse subnucleus	KF	Parabrachial nucleus	Geometry	2991.1	4358.5	123	867	0	0	0	0	NaN	0	202873.5	2501
