Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5633.8	2306.1	NaN	NaN	NaN	148	127	21	14.19	180.42	116392.3	1564.8
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5708.8	2625.3	NaN	NaN	NaN	130	103	27	20.77	123.08	219376.8	1979.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5549.3	3039.3	NaN	NaN	NaN	222	159	63	28.38	214.45	293780	2235
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	5088.3	2355	NaN	NaN	NaN	135	106	29	21.48	391.49	74075.6	1201.8
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	5018.4	2663.5	NaN	NaN	NaN	162	113	49	30.25	405.06	120970.7	1592.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	5045.6	3088.5	NaN	NaN	NaN	348	232	116	33.33	441.55	262710.8	2220.8
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5355.7	2087.7	NaN	NaN	NaN	438	367	71	16.21	267.76	265160.9	2046.3
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Isocortex	Isocortex	Image	Geometry	5421.8	1647	315	695	0	0	0	0	NaN	0	7376006.5	22488.5
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	8832.4	2341.8	541	315	0	0	0	0	NaN	0	637133.7	4215.3
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 6b	TEa6b	Temporal association areas	Polygon	8617.4	2855	786	541	0	0	0	0	NaN	0	4416.9	356.58
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	8765.4	2549.6	289	541	0	0	0	0	NaN	0	158444	2041
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	8920.7	2128	97	541	0	0	0	0	NaN	0	160415	3473.2
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	8863.5	2250.9	1127	541	0	0	0	0	NaN	0	195743.2	3101.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Polygon	8670.8	2756.9	729	541	0	0	0	0	NaN	0	39773.2	1019.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Geometry	8800.9	2349.6	234	541	0	0	0	0	NaN	0	78341.4	2253.5
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	9033.8	3024.9	895	315	0	0	0	0	NaN	0	246122.9	2753.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 6b	ECT6b	Ectorhinal area	Polygon	8716.2	3087.3	1045	895	0	0	0	0	NaN	0	12568.4	851.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Polygon	9304.2	3039	836	895	0	0	0	0	NaN	0	40999	1045.2
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Geometry	9159.9	2999.3	427	895	0	0	0	0	NaN	0	74217.7	1211
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 6a	ECT6a	Ectorhinal area	Geometry	8790	3054.6	977	895	0	0	0	0	NaN	0	42885	1057.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 5	ECT5	Ectorhinal area	Geometry	8954.7	3015	988	895	0	0	0	0	NaN	0	75452.5	1508.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area	PERI	Isocortex	Geometry	8213.8	3331.3	922	315	0	0	0	0	NaN	0	173738.6	2994.8
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Geometry	5640.1	3267.7	540	922	0	0	0	0	NaN	0	40475.1	1501.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 6a	PERI6a	Perirhinal area	Geometry	8861.3	3366.6	335	922	0	0	0	0	NaN	0	30394.7	908.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 6b	PERI6b	Perirhinal area	Geometry	8790	3389.2	368	922	0	0	0	0	NaN	0	11377.1	672
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 2/3	PERI2/3	Perirhinal area	Geometry	9139.5	3349.3	888	922	0	0	0	0	NaN	0	46154.8	1024.3
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 5	PERI5	Perirhinal area	Geometry	8990.4	3331.4	692	922	0	0	0	0	NaN	0	45337	1208.2
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Visual areas	VIS	Isocortex	Geometry	4715.5	1614.7	669	315	0	0	0	0	NaN	0	5108269.6	18326.1
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	posteromedial visual area	VISpm	Visual areas	Geometry	6012.8	254.29	533	669	0	0	0	0	NaN	0	20328.8	980.45
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 1	VISpm1	posteromedial visual area	Geometry	5781.2	226.35	805	533	0	0	0	0	NaN	0	8968.3	523.4
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 2/3	VISpm2/3	posteromedial visual area	Geometry	6189.4	268	41	533	0	0	0	0	NaN	0	10525	549.02
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	posteromedial visual area, layer 4	VISpm4	posteromedial visual area	Polygon	6273.8	381.35	501	533	0	0	0	0	NaN	0	835.38	137.9
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Laterointermediate area	VISli	Visual areas	Geometry	6991.3	1905.2	312782574	669	0	0	0	0	NaN	0	249068.7	3763.5
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 2/3	VISli2/3	Laterointermediate area	Geometry	6044.7	1828.1	312782582	312782574	0	0	0	0	NaN	0	69178.3	1792.7
JKAY22.3f_2_Scan1_[5976,33335]_component_data_merged_Region 2.ome.tif	Laterointermediate area, layer 1	VISli1	Laterointermediate area	Geometry	5407.6	1794.7	312782578	312782574	0	0	0	0	NaN	0	47791.7	1629.4
