Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5337.4	3673	997	0	0	1324	1317	7	0.5287	0.1379	50764696.8	39408.2
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5360.1	3583.8	8	997	0	1323	1316	7	0.5291	0.1546	45270187.9	99527.6
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5378.5	3529.8	567	8	0	0	0	0	NaN	0	29543071.3	66916.8
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5378.5	3529.8	688	567	0	0	0	0	NaN	0	29543071.3	66916.8
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5347.4	3469	695	688	0	0	0	0	NaN	0	28846321.9	68808.6
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5199.5	4210.4	1089	695	0	0	0	0	NaN	0	13543292.5	32422.3
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5317.9	4273.4	1080	1089	0	0	0	0	NaN	0	10102237.1	21540.8
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	4728.9	3876.8	726	1080	0	0	0	0	NaN	0	3080927.1	17308.5
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	4742.9	3848.5	632	726	0	0	0	0	NaN	0	774477.9	17081.8
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	4854.3	3873.8	10703	726	0	0	0	0	NaN	0	1877528.3	22473.6
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	4154.7	3941.4	10704	726	0	0	0	0	NaN	0	428920.9	7302.7
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Ammon's horn	CA	Hippocampal region	Geometry	5576.4	4447.4	375	1080	0	0	0	0	NaN	0	7021310	24541.2
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Field CA1	CA1	Ammon's horn	Geometry	5312.1	4390.3	382	375	0	0	0	0	NaN	0	5374869.6	18632.2
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Field CA2	CA2	Ammon's horn	Geometry	8398.3	4568.3	423	375	0	0	0	0	NaN	0	1415.1	307.13
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Field CA3	CA3	Ammon's horn	Geometry	6437.6	4633.8	463	375	0	0	0	0	NaN	0	1645025.4	8901.3
JKAY22.3f_1_Scan1_[4053,40279]_component_data_merged_Region 2.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4850.2	4028.5	822	1089	0	0	0	0	NaN	0	3423925.5	19496.2
