Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5469.4	2010.7	NaN	NaN	NaN	106	34	72	67.92	194.75	369698.6	2783.4
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	6033.1	2356.8	NaN	NaN	NaN	82	22	60	73.17	336.83	178132.4	1919.6
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	5036.2	2249.4	NaN	NaN	NaN	41	9	32	78.05	173.52	184420.3	2014.5
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5864.5	2743.2	NaN	NaN	NaN	136	10	126	92.65	457.48	275421.7	2083.5
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	5164.4	2930.2	NaN	NaN	NaN	125	10	115	92	341.61	336638.4	2361
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4919.5	2599.8	NaN	NaN	NaN	120	18	102	85	337.63	302103.9	2399.7
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5917.4	2079.9	NaN	NaN	NaN	63	12	51	80.95	261.92	194712.7	2030.4
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	Image	Geometry	5351.3	3375.2	8	997	0	672	115	557	82.89	12.93	43077909	102401.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5334.2	5413.9	512	8	0	0	0	0	NaN	0	131718.8	4814.9
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5236.1	3051.3	567	8	0	0	0	0	NaN	0	20488922.4	50868.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5236.1	3051.3	688	567	0	0	0	0	NaN	0	20488922.4	50868.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5236.1	3051.3	695	688	0	0	0	0	NaN	0	20488922.4	50868.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5189.4	1541.6	315	695	0	0	0	0	NaN	0	6662062.8	21162.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas	TEa	Isocortex	Geometry	8551	2247.1	541	315	0	0	0	0	NaN	0	383823	4185.8
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 5	TEa5	Temporal association areas	Geometry	9400.3	2375.6	289	541	0	0	0	0	NaN	0	72660	1406.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Geometry	7465.7	2234.3	97	541	0	0	0	0	NaN	0	137440.8	3417.1
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 2/3	TEa2/3	Temporal association areas	Geometry	8927.8	2194	1127	541	0	0	0	0	NaN	0	130679.1	2604
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 6a	TEa6a	Temporal association areas	Geometry	9316.7	2528.1	729	541	0	0	0	0	NaN	0	1782.3	254.24
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 4	TEa4	Temporal association areas	Polygon	9444.2	2219.1	234	541	0	0	0	0	NaN	0	41261	1378.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area	ECT	Isocortex	Geometry	7635	2780.6	895	315	0	0	0	0	NaN	0	297564.1	4399.7
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 6b	ECT6b	Ectorhinal area	Geometry	9326.2	2830	1045	895	0	0	0	0	NaN	0	10946.8	723.67
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Geometry	5686.9	2885.6	836	895	0	0	0	0	NaN	0	66118.6	1765.5
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Geometry	6540.7	2787.1	427	895	0	0	0	0	NaN	0	96535.4	2164
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 6a	ECT6a	Ectorhinal area	Geometry	9387.8	2752.3	977	895	0	0	0	0	NaN	0	48099.3	1156.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Ectorhinal area/Layer 5	ECT5	Ectorhinal area	Geometry	9370	2691.6	988	895	0	0	0	0	NaN	0	75864	1644.3
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Perirhinal area	PERI	Isocortex	Geometry	6939	3044.1	922	315	0	0	0	0	NaN	0	233272.8	3979.6
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Geometry	5925.9	3124.1	540	922	0	0	0	0	NaN	0	47888.7	1548.2
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 6a	PERI6a	Perirhinal area	Geometry	9504.9	2994.3	335	922	0	0	0	0	NaN	0	25645.4	813.13
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 6b	PERI6b	Perirhinal area	Polygon	9408.9	3017.8	368	922	0	0	0	0	NaN	0	7043.2	404.68
JKAY22.3g_2_Scan1_[6021,36653]_component_data_merged_Region 2.ome.tif	Perirhinal area, layer 2/3	PERI2/3	Perirhinal area	Geometry	6104	3048.1	888	922	0	0	0	0	NaN	0	93101.3	2064.1
