Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	5132	2110.8	NaN	NaN	NaN	323	299	24	7.43	64.78	370490.9	2703.9
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5586.7	2221.1	NaN	NaN	NaN	138	129	9	6.522	43.07	208953.6	2141.1
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5663.6	2529.3	NaN	NaN	NaN	108	102	6	5.556	28.7	209089.2	2059.5
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5443.3	3004.3	NaN	NaN	NaN	324	275	49	15.12	135.09	362728	2463
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4697.5	2275.7	NaN	NaN	NaN	159	150	9	5.66	46	195642.8	2105.8
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4575.8	2582.9	NaN	NaN	NaN	178	174	4	2.247	15.57	256955.2	2228
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4801.5	3022.7	NaN	NaN	NaN	333	295	38	11.41	100.48	378178.1	2502.3
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	ventricular systems	VS	Image	Polygon	5149.2	2592	73	997	0	0	0	0	NaN	0	13504	431.79
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	cerebral aqueduct	AQ	ventricular systems	Polygon	5149.2	2592	140	73	0	0	0	0	NaN	0	13504	431.79
JKAY22.3g_2_Scan1_[5438,47915]_component_data_merged_Region 2.ome.tif	fiber tracts	fiber tracts	Image	Geometry	4763.3	4395.4	1009	997	0	0	0	0	NaN	0	4009214	58098.1
