Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	4567.8	3477.8	997	0	0	4652	2274	2378	51.12	61.85	38445356	41653
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	4562.9	3395	8	997	0	4639	2262	2377	51.24	70.18	33870766.9	91452.4
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3866.4	3618.4	512	8	0	0	0	0	NaN	0	1489338.3	13269.1
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	3423	3530.5	528	512	0	0	0	0	NaN	0	1078939.8	9290.3
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	3503.1	3772	1073	528	0	0	0	0	NaN	0	604543.1	6582.6
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	4374.6	4243.6	1049	1073	0	0	0	0	NaN	0	398492.6	4284.1
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	1817.8	2860	1007	1073	0	0	0	0	NaN	0	206051	2298.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	3320.9	3222.8	645	528	0	0	0	0	NaN	0	474396.7	4137.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Geometry	3320.9	3222.8	928	645	0	0	0	0	NaN	0	474396.7	4137.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	3320.9	3222.8	1091	928	0	0	0	0	NaN	0	474396.7	4137.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4933.1	2734.4	567	8	0	0	0	0	NaN	0	7169627.5	18213
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4933.1	2734.4	688	567	0	0	0	0	NaN	0	7169627.5	18213
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4933.1	2734.4	695	688	0	0	0	0	NaN	0	7169627.5	18213
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4635.5	1653.2	315	695	0	0	0	0	NaN	0	2067723.9	11767.1
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	4540.2	1740.6	669	315	0	0	0	0	NaN	0	1657138.8	12674.9
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	6059.1	2409.3	312782628	669	0	0	0	0	NaN	0	173101.6	2966.4
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Postrhinal area	Geometry	8472.7	2426.5	312782636	312782628	0	0	0	0	NaN	0	48759.4	1370
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	5112.6	2402.5	312782632	312782628	0	0	0	0	NaN	0	124342.2	2738.9
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Primary visual area	VISp	Visual areas	Geometry	4703.4	1354	385	669	0	0	0	0	NaN	0	546660.8	6177.4
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	5768.7	1516.3	821	385	0	0	0	0	NaN	0	205971.1	3296.3
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	4039	1253.2	593	385	0	0	0	0	NaN	0	338831.5	6196.2
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Polygon	7778.3	1742.2	721	385	0	0	0	0	NaN	0	1858.3	226.72
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Posterolateral visual area	VISpl	Visual areas	Geometry	4164.6	1842.6	425	669	0	0	0	0	NaN	0	937376.4	7348.2
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 2/3	VISpl2/3	Posterolateral visual area	Geometry	4349.6	1856.4	269	425	0	0	0	0	NaN	0	524357.1	6368.1
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 4	VISpl4	Posterolateral visual area	Polygon	7789.5	1758.5	869	425	0	0	0	0	NaN	0	1264.2	318.48
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 5	VISpl5	Posterolateral visual area	Geometry	7974.4	2038.7	902	425	0	0	0	0	NaN	0	71298.5	1529.5
JKAY22.3g_3_Scan2_[6256,40483]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 1	VISpl1	Posterolateral visual area	Geometry	3068.4	1780.7	750	425	0	0	0	0	NaN	0	340456.7	6442.3
