Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	root	root	Image	Polygon	5007.7	3269.3	997	0	0	589	503	86	14.6	1.894	45396942.7	45076.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	4987.9	3143.2	8	997	0	589	503	86	14.6	2.092	41108415.3	89223.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	4858.4	5178	512	8	0	0	0	0	NaN	0	74800.7	3819.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4904.9	2752.7	567	8	0	0	0	0	NaN	0	18133983.7	36441.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4904.9	2752.7	688	567	0	0	0	0	NaN	0	18133983.7	36441.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4904.9	2752.7	695	688	0	0	0	0	NaN	0	18133983.7	36441.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	5603.7	1267.3	315	695	0	0	0	0	NaN	0	4921674.1	18788.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Temporal association areas	TEa	Isocortex	Polygon	9581.7	2535.3	541	315	0	0	0	0	NaN	0	1546.2	188.96
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Polygon	9581.7	2535.3	97	541	0	0	0	0	NaN	0	1546.2	188.96
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Ectorhinal area	ECT	Isocortex	Polygon	9585.8	2738	895	315	0	0	0	0	NaN	0	34986.6	973.91
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Ectorhinal area/Layer 1	ECT1	Ectorhinal area	Polygon	9592.3	2737.5	836	895	0	0	0	0	NaN	0	32613.7	893.52
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Ectorhinal area/Layer 2/3	ECT2/3	Ectorhinal area	Polygon	9499.8	2744.6	427	895	0	0	0	0	NaN	0	2373.1	220.86
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Perirhinal area	PERI	Isocortex	Polygon	9520	2935.8	922	315	0	0	0	0	NaN	0	61990.3	1270.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Perirhinal area, layer 1	PERI1	Perirhinal area	Geometry	9583.8	2986.1	540	922	0	0	0	0	NaN	0	31771.3	972.38
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 4.ome.tif	Perirhinal area, layer 2/3	PERI2/3	Perirhinal area	Polygon	9452.9	2883.7	888	922	0	0	0	0	NaN	0	30219.1	775.38
