Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	root	root	Image	Polygon	5236.2	3858.2	997	0	0	433	432	1	0.2309	0.0179	55947582.5	37554.7
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5226.8	3883	8	997	0	433	432	1	0.2309	0.0195	51243312.4	102880.6
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5156.3	3658.6	567	8	0	0	0	0	NaN	0	33994232.9	72482.3
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5156.3	3658.6	688	567	0	0	0	0	NaN	0	33994232.9	72482.3
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5132.2	3537.7	695	688	0	0	0	0	NaN	0	32412661.4	74742.2
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	5133.6	4140.9	1089	695	0	0	0	0	NaN	0	15346268.2	34923.7
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	5225.8	4140.8	1080	1089	0	0	0	0	NaN	0	12494629.5	25861.3
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5300.7	3356.6	726	1080	0	0	0	0	NaN	0	2012202.7	14102.7
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5244.7	3280.1	632	726	0	0	0	0	NaN	0	474512.7	12179.7
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Dentate gyrus, molecular layer	DG-mo	Dentate gyrus	Geometry	5320.4	3398	10703	726	0	0	0	0	NaN	0	1383478.6	17467.5
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Dentate gyrus, polymorph layer	DG-po	Dentate gyrus	Geometry	5296.3	3220	10704	726	0	0	0	0	NaN	0	154211.5	4322.8
JKAY22.3g_1_Scan1_[7081,62468]_component_data_merged_Region 3.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	4695.3	4150.3	822	1089	0	0	0	0	NaN	0	2770835.7	15897.2
