Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	dmPAG	PAG_subregions	Image	Polygon	4693.1	1628	NaN	NaN	NaN	336	311	25	7.44	58.47	427557.6	2898.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	5211.2	1809.2	NaN	NaN	NaN	117	95	22	18.8	101.64	216457.1	1972.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4205.8	1874.4	NaN	NaN	NaN	189	158	31	16.4	121.72	254675.1	2177.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	4077	2257.3	NaN	NaN	NaN	218	160	58	26.61	181.85	318943	2479.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4278	2707.7	NaN	NaN	NaN	180	136	44	24.44	90.2	487794.1	2867.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5314.7	2214.3	NaN	NaN	NaN	205	154	51	24.88	179.77	283689.8	2279
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	5159.9	2722.4	NaN	NaN	NaN	209	164	45	21.53	94.19	477755.3	2797.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Image	Geometry	4167.7	3532.8	926	909	0	0	0	0	NaN	0	3596768.9	15785
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	4203.2	4909.7	526	926	0	0	0	0	NaN	0	273910.9	6087.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	4000.5	4727.3	543	926	0	0	0	0	NaN	0	318860.6	5732.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 3	ENTm3	Entorhinal area, medial part, dorsal zone	Geometry	3618.5	4364.3	664	926	0	0	0	0	NaN	0	378465.7	7741
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 5	ENTm5	Entorhinal area, medial part, dorsal zone	Geometry	3402.2	3266.9	727	926	0	0	0	0	NaN	0	1068299.4	13063.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Entorhinal area, medial part, dorsal zone, layer 6	ENTm6	Entorhinal area, medial part, dorsal zone	Geometry	4854.3	3026.5	743	926	0	0	0	0	NaN	0	1557232.3	11420
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Image	Geometry	4465.5	2300.9	312782636	312782628	0	0	0	0	NaN	0	464211.1	6167.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 5	VISpor5	Image	Geometry	5174.3	2183.6	312782644	312782628	0	0	0	0	NaN	0	460254.8	5216.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 4	VISpor4	Image	Geometry	6198.5	1911.2	312782640	312782628	0	0	0	0	NaN	0	48761.3	2061
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 6b	VISpor6b	Image	Geometry	8040.1	2000.6	312782652	312782628	0	0	0	0	NaN	0	2362.7	554.43
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postrhinal area, layer 6a	VISpor6a	Image	Geometry	7854.8	2201.4	312782648	312782628	0	0	0	0	NaN	0	98010.6	2785
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Image	Geometry	4309.5	4493.5	512	8	0	0	0	0	NaN	0	100458	4633.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Brain stem	BS	Image	Geometry	4580	3593.1	343	8	0	1446	1171	275	19.02	11.57	23776802.3	58179.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Hindbrain	HB	Brain stem	Geometry	4442.1	5194.2	1065	343	0	0	0	0	NaN	0	10780937.1	43089.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pons	P	Hindbrain	Geometry	4442.1	5194.2	771	1065	0	0	0	0	NaN	0	10780937.1	43089.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4440.7	4705.2	1117	771	0	0	0	0	NaN	0	4769184	15710.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	4418.4	4726.8	146	1117	0	0	0	0	NaN	0	3904162.2	11941.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Polygon	4541.2	4607.6	679	1117	0	0	0	0	NaN	0	865021.4	4561.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	4470.8	5054	1132	771	0	0	0	0	NaN	0	2085619.2	16336.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Polygon	2390.9	5093	7	1132	0	0	0	0	NaN	0	50561	1187.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Nucleus of the lateral lemniscus	NLL	Pons, sensory related	Geometry	4639.6	4516.2	612	1132	0	0	0	0	NaN	0	1407147.4	11507.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior olivary complex	SOC	Pons, sensory related	Geometry	4259.7	6256	398	1132	0	0	0	0	NaN	0	627910.6	4599.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior olivary complex, periolivary region	POR	Superior olivary complex	Geometry	4259.7	6256	122	398	0	0	0	0	NaN	0	627910.6	4599.8
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pons, motor related	P-mot	Pons	Geometry	4485.7	5689.9	987	771	0	0	0	0	NaN	0	1452548.8	10457
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Tegmental reticular nucleus	TRN	Pons, motor related	Geometry	4539.2	5687.6	574	987	0	0	0	0	NaN	0	1410002	9137.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Parvicellular motor 5 nucleus	PC5	Pons, motor related	Polygon	2714.8	5766.4	549009223	987	0	0	0	0	NaN	0	42547.1	1319.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain	MB	Brain stem	Geometry	4694.4	2264.9	313	343	0	1446	1171	275	19.02	21.16	12996297.1	24652.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	4688.4	2154.5	323	313	0	1445	1170	275	19.03	37.52	7328893	24830.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Periaqueductal gray	PAG	Midbrain, motor related	Polygon	4687.1	2240.9	795	323	0	1439	1164	275	19.11	111.88	2458008.2	8535
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, motor related	SCm	Midbrain, motor related	Polygon	4678.2	1238.3	294	323	0	2	2	0	0	0	2307745.5	9081.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, motor related, intermediate gray layer	SCig	Superior colliculus, motor related	Polygon	4694.2	932.82	10	294	0	0	0	0	NaN	0	511126.7	7291.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, motor related, intermediate white layer	SCiw	Superior colliculus, motor related	Geometry	4688	1146.3	17	294	0	0	0	0	NaN	0	832788.7	7201.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, motor related, deep gray layer	SCdg	Superior colliculus, motor related	Polygon	4662.8	1459	26	294	0	0	0	0	NaN	0	793336.8	6625.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, motor related, deep white layer	SCdw	Superior colliculus, motor related	Polygon	4650.5	1576.9	42	294	0	2	2	0	0	0	170492.6	5480.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Trochlear nucleus	IV	Midbrain, motor related	Geometry	4673.8	3156.6	115	323	0	0	0	0	NaN	0	51175.4	1226.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain reticular nucleus	MRN	Midbrain, motor related	Geometry	4708.5	2809.8	128	323	0	5	5	0	0	0	2311521.5	14650.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Paratrochlear nucleus	Pa4	Midbrain, motor related	Geometry	4671.8	3261.7	606826663	323	0	0	0	0	NaN	0	48858.9	1144.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Anterior tegmental nucleus	AT	Midbrain, motor related	Geometry	4583.4	4008.1	231	323	0	0	0	0	NaN	0	151618.7	2054.1
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain, sensory related	MBsen	Midbrain	Geometry	4708.6	1403.1	339	313	0	0	0	0	NaN	0	1858233.4	15409.6
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Inferior colliculus	IC	Midbrain, sensory related	Geometry	4745.3	1859.9	4	339	0	0	0	0	NaN	0	708262.5	4547.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Inferior colliculus, external nucleus	ICe	Inferior colliculus	Geometry	4745.3	1859.9	828	4	0	0	0	0	NaN	0	708262.5	4547.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Nucleus sagulum	SAG	Midbrain, sensory related	Geometry	4979.3	2650.9	271	339	0	0	0	0	NaN	0	193710.5	2245.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, sensory related	SCs	Midbrain, sensory related	Polygon	4589.3	687.25	302	339	0	0	0	0	NaN	0	895838.3	7156.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, zonal layer	SCzo	Superior colliculus, sensory related	Polygon	4616.8	625.13	834	302	0	0	0	0	NaN	0	148723.2	7643.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, superficial gray layer	SCsg	Superior colliculus, sensory related	Geometry	4550.5	664.68	842	302	0	0	0	0	NaN	0	539291.3	7007.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Superior colliculus, optic layer	SCop	Superior colliculus, sensory related	Geometry	4668.4	791.44	851	302	0	0	0	0	NaN	0	207824.7	6739.7
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Parabigeminal nucleus	PBG	Midbrain, sensory related	Geometry	5187	2657.3	874	339	0	0	0	0	NaN	0	60422.2	1460.2
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain, behavioral state related	MBsta	Midbrain	Geometry	4585.9	3348.6	348	313	0	0	0	0	NaN	0	1763915.4	8916.4
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Pedunculopontine nucleus	PPN	Midbrain, behavioral state related	Geometry	4570.9	3387.3	1052	348	0	0	0	0	NaN	0	1566420.4	6951.9
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Midbrain raphe nuclei	RAmb	Midbrain, behavioral state related	Polygon	4705.9	3042.1	165	348	0	0	0	0	NaN	0	197495.5	1964.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Dorsal nucleus raphe	DR	Midbrain raphe nuclei	Polygon	4705.9	3042.1	872	165	0	0	0	0	NaN	0	197495.5	1964.5
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Postsubiculum	POST	Image	Geometry	6210.8	1486	1037	822	0	0	0	0	NaN	0	448814.6	4015.3
JKAY22.3g_3_Scan2_[7017,50423]_component_data_merged_Region 2.ome.tif	Presubiculum	PRE	Image	Geometry	5849	2016.9	1084	822	0	0	0	0	NaN	0	408784.1	3999.2
