Image	Name	Class	Parent	ROI
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Negative	Negative	dlPAG-r	Polygon
