Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	root	root	Image	Geometry	5488.6	3708.7	997	0	0	3465	3081	384	11.08	7.338	52329427.6	38987.7
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	5477.7	3633.4	8	997	0	3463	3079	384	11.09	8.295	46294138	107722.6
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	6444.8	5784.6	512	8	0	0	0	0	NaN	0	53585.7	4578.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5371.5	3530.7	567	8	0	0	0	0	NaN	0	25224379.1	60046.6
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Brain stem	BS	Basic cell groups and regions	Geometry	5602.7	3751.1	343	8	0	3463	3079	384	11.09	18.27	21016173.2	43854.9
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Hindbrain	HB	Brain stem	Geometry	5604.8	6144.5	1065	343	0	0	0	0	NaN	0	4146493.9	19276.6
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Pons	P	Hindbrain	Geometry	5604.8	6144.5	771	1065	0	0	0	0	NaN	0	4146493.9	19276.6
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	5668.6	5140.5	1117	771	0	0	0	0	NaN	0	653588.8	4560
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	5668.6	5140.5	146	1117	0	0	0	0	NaN	0	653588.8	4560
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Pons, motor related	P-mot	Pons	Geometry	5567.3	6337.7	987	771	0	0	0	0	NaN	0	2702548.6	10896.6
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Tegmental reticular nucleus	TRN	Pons, motor related	Geometry	5859.8	5968.2	574	987	0	0	0	0	NaN	0	235012.4	4604.5
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Pontine gray	PG	Pons, motor related	Geometry	5539.4	6372.9	931	987	0	0	0	0	NaN	0	2467536.3	10165.4
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Interbrain	IB	Brain stem	Geometry	3626.2	3540.5	1129	343	0	0	0	0	NaN	0	190784.2	2328.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Thalamus	TH	Interbrain	Geometry	3626.2	3540.5	549	1129	0	0	0	0	NaN	0	190784.2	2328.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Thalamus, sensory-motor cortex related	DORsm	Thalamus	Geometry	3645.2	3540.9	864	549	0	0	0	0	NaN	0	171460.7	2278.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Geniculate group, dorsal thalamus	GENd	Thalamus, sensory-motor cortex related	Geometry	3645.2	3540.9	1008	864	0	0	0	0	NaN	0	171460.7	2278.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Medial geniculate complex	MG	Geniculate group, dorsal thalamus	Geometry	3645.2	3540.9	475	1008	0	0	0	0	NaN	0	171460.7	2278.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Medial geniculate complex, dorsal part	MGd	Medial geniculate complex	Geometry	3675.9	3414.3	1072	475	0	0	0	0	NaN	0	83673.9	1639.7
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Medial geniculate complex, ventral part	MGv	Medial geniculate complex	Geometry	3669.6	3704.3	1079	475	0	0	0	0	NaN	0	67589.9	1387.3
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Medial geniculate complex, medial part	MGm	Medial geniculate complex	Polygon	3436.8	3518.6	1088	475	0	0	0	0	NaN	0	20196.9	923.85
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Midbrain	MB	Brain stem	Geometry	5624.8	3158.5	313	343	0	3463	3079	384	11.09	23.02	16679047.5	33044.7
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	5618.5	3058.8	323	313	0	3453	3071	382	11.06	33.15	11521801.1	31719.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Oculomotor nucleus	III	Midbrain, motor related	Geometry	5719.5	3826.2	35	323	0	2	2	0	0	0	82332.7	1914.9
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Midbrain reticular nucleus	MRN	Midbrain, motor related	Geometry	5577.8	3606	128	323	0	7	7	0	0	0	3539067	16181.5
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Red nucleus	RN	Midbrain, motor related	Geometry	5582.6	4217.6	214	323	0	0	0	0	NaN	0	832736.1	4722.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Midbrain reticular nucleus, retrorubral area	RR	Midbrain, motor related	Geometry	5511.3	4531	246	323	0	0	0	0	NaN	0	297891.3	3316.7
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related	SCm	Midbrain, motor related	Polygon	5731.8	2094.9	294	323	0	22	19	3	13.64	0.6595	4548724.3	11604.1
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate gray layer	SCig	Superior colliculus, motor related	Polygon	5677.7	1889.2	10	294	0	0	0	0	NaN	0	1823301	12212.2
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate white layer	SCiw	Superior colliculus, motor related	Polygon	5730.9	2186.5	17	294	0	0	0	0	NaN	0	1687846	9684
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, deep gray layer	SCdg	Superior colliculus, motor related	Polygon	5835	2319.9	26	294	0	0	0	0	NaN	0	860569.1	7171
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, deep white layer	SCdw	Superior colliculus, motor related	Polygon	5793.7	2247.1	42	294	0	21	18	3	14.29	16.95	177010.7	4634
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Substantia nigra, reticular part	SNr	Midbrain, motor related	Geometry	4976	4756.7	381	323	0	0	0	0	NaN	0	794153.2	6399.3
JKAY22.5d_2_Scan2_[7191,44975]_component_data_merged_Region 4.ome.tif	Edinger-Westphal nucleus	EW	Midbrain, motor related	Polygon	5711.6	3716	975	323	0	0	0	0	NaN	0	32744.9	954.51
