Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5176	3340.9	997	0	0	1213	651	562	46.33	12.32	45622077.1	44323.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5165	3208.8	8	997	0	1211	649	562	46.41	13.7	41013290.4	101141.5
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	5875.7	4758.6	512	8	0	0	0	0	NaN	0	97661.6	4572.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4875	2936.4	567	8	0	0	0	0	NaN	0	17701722.9	34416.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4875	2936.4	688	567	0	0	0	0	NaN	0	17701722.9	34416.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	4875	2936.4	695	688	0	0	0	0	NaN	0	17701722.9	34416.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	4047	1490.1	315	695	0	0	0	0	NaN	0	4987845.7	18923.9
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Temporal association areas	TEa	Isocortex	Polygon	586.76	2882.2	541	315	0	0	0	0	NaN	0	1929.8	214.56
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Temporal association areas, layer 1	TEa1	Temporal association areas	Polygon	586.76	2882.2	97	541	0	0	0	0	NaN	0	1929.8	214.56
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 2.ome.tif	Ectorhinal area	ECT	Isocortex	Polygon	543.44	3082.4	895	315	0	0	0	0	NaN	0	37449.3	987.4
