Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	root	root	Image	Polygon	5161.5	3637.3	997	0	0	1225	1017	208	16.98	4.456	46678416.4	43246.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Basic cell groups and regions	grey	root	Geometry	5191.4	3537.7	8	997	0	1225	1017	208	16.98	4.928	42204232.7	89498.1
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	6476.2	5294.9	512	8	0	0	0	0	NaN	0	67256.5	3798.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	4989.9	3290.1	567	8	0	0	0	0	NaN	0	19100368.2	39744.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	4989.9	3290.1	688	567	0	0	0	0	NaN	0	19100368.2	39744.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Brain stem	BS	Basic cell groups and regions	Geometry	5354.8	3737.8	343	8	0	1225	1017	208	16.98	9.029	23036608	45955.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Hindbrain	HB	Brain stem	Geometry	5341.9	5611.1	1065	343	0	0	0	0	NaN	0	8338813.4	28071.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Pons	P	Hindbrain	Geometry	5341.9	5611.1	771	1065	0	0	0	0	NaN	0	8338813.4	28071.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	5434.2	5555.3	1132	771	0	0	0	0	NaN	0	1812425.5	11451.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Nucleus of the lateral lemniscus	NLL	Pons, sensory related	Geometry	5278.3	5404.4	612	1132	0	0	0	0	NaN	0	1545401.3	10199.3
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Superior olivary complex	SOC	Pons, sensory related	Polygon	6336.7	6428.6	398	1132	0	0	0	0	NaN	0	267024.5	2243
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Superior olivary complex, periolivary region	POR	Superior olivary complex	Polygon	6336.7	6428.6	122	398	0	0	0	0	NaN	0	267024.5	2243
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Pons, motor related	P-mot	Pons	Geometry	5169	6065.7	987	771	0	0	0	0	NaN	0	1239949.5	10425.8
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Tegmental reticular nucleus	TRN	Pons, motor related	Geometry	5197	5976.6	574	987	0	0	0	0	NaN	0	1029236.8	8496.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Pontine gray	PG	Pons, motor related	Geometry	5027.6	6502.3	931	987	0	0	0	0	NaN	0	210242.6	2994.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Parvicellular motor 5 nucleus	PC5	Pons, motor related	Geometry	7061.5	5938.7	549009223	987	0	0	0	0	NaN	0	470.04	122.36
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Midbrain	MB	Brain stem	Geometry	5362.1	2675	313	343	0	1225	1017	208	16.98	14.15	14697946.7	25787.7
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Midbrain, motor related	MBmot	Midbrain	Geometry	5305.8	2505	323	313	0	1222	1014	208	17.02	22.7	9161493.1	25914.2
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Periaqueductal gray	PAG	Midbrain, motor related	Polygon	5430.5	2546.7	795	323	0	1221	1013	208	17.04	96.15	2163211.2	7687.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Supraoculomotor periaqueductal gray	Su3	Periaqueductal gray	Polygon	5096.8	3217.4	614454277	795	0	1	1	0	0	0	5709.4	312.6
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related	SCm	Midbrain, motor related	Polygon	5234.1	1666.4	294	323	0	1	1	0	0	0	3789189.6	10910.4
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate gray layer	SCig	Superior colliculus, motor related	Polygon	5131.4	1327.3	10	294	0	0	0	0	NaN	0	979442	10067.3
JKAY22.5d_3_Scan2_[6165,58983]_component_data_merged_Region 4.ome.tif	Superior colliculus, motor related, intermediate white layer	SCiw	Superior colliculus, motor related	Polygon	5207.9	1636.1	17	294	0	0	0	0	NaN	0	1472225.6	9555.2
