Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	dmPAG	PAG_subregions	Image	Polygon	4487.1	1468.1	NaN	NaN	NaN	715	73	642	89.79	1295	495753.8	3175.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	dlPAG-r	PAG_subregions	Image	Polygon	4970.1	1752.6	NaN	NaN	NaN	303	8	295	97.36	1522	193824.8	1842
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	lPAG-r	PAG_subregions	Image	Polygon	5111.7	2254.8	NaN	NaN	NaN	471	79	392	83.23	1062.2	369030.5	2636.8
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	vlPAG-r	PAG_subregions	Image	Polygon	4909.9	2926.8	NaN	NaN	NaN	274	32	242	88.32	476.26	508127.8	3869.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	dlPAG-l	PAG_subregions	Image	Polygon	4002.5	1755.1	NaN	NaN	NaN	276	34	242	87.68	970.28	249413.3	2132.9
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	lPAG-l	PAG_subregions	Image	Polygon	3881.1	2382.7	NaN	NaN	NaN	632	157	475	75.16	725.12	655060.7	3380.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	vlPAG-l	PAG_subregions	Image	Polygon	4071.4	3049.9	NaN	NaN	NaN	277	52	225	81.23	439.36	512104.3	3920.9
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Entorhinal area, lateral part, layer 2	ENTl2	Image	Geometry	215.65	4095.5	20	918	0	0	0	0	NaN	0	215840.5	3230.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Primary visual area	VISp	Image	Geometry	4494.3	1345.9	385	669	0	0	0	0	NaN	0	725824.6	7534.8
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 5	VISp5	Primary visual area	Polygon	1185.2	1790.1	778	385	0	0	0	0	NaN	0	28.36	22.82
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 2/3	VISp2/3	Primary visual area	Geometry	4188.5	1481.8	821	385	0	0	0	0	NaN	0	260321.9	4633.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 1	VISp1	Primary visual area	Geometry	5062.1	1219.5	593	385	0	0	0	0	NaN	0	418369.1	7451.7
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Primary visual area, layer 4	VISp4	Primary visual area	Geometry	1143.4	1717.9	721	385	0	0	0	0	NaN	0	47105.3	1209.1
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Posterolateral visual area	VISpl	Image	Geometry	3933.4	1966.8	425	669	0	0	0	0	NaN	0	878084.5	7113.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 2/3	VISpl2/3	Posterolateral visual area	Geometry	4667.2	1941	269	425	0	0	0	0	NaN	0	363676.2	5410.1
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 4	VISpl4	Posterolateral visual area	Geometry	873.23	2073.8	869	425	0	0	0	0	NaN	0	47530.3	2587.7
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 5	VISpl5	Posterolateral visual area	Polygon	1035.1	2075.1	902	425	0	0	0	0	NaN	0	216821.3	2630.7
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 1	VISpl1	Posterolateral visual area	Geometry	5961.4	1889.9	750	425	0	0	0	0	NaN	0	250055.7	4749.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 2/3	VISpor2/3	Image	Geometry	238.15	2733.9	312782636	312782628	0	0	0	0	NaN	0	122056	1883.3
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 5	VISpor5	Image	Geometry	477.91	2568.2	312782644	312782628	0	0	0	0	NaN	0	265.91	127.61
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 4	VISpor4	Image	Polygon	481.31	2545.3	312782640	312782628	0	0	0	0	NaN	0	190.07	56.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Image	Geometry	5928.7	3884.6	512	8	0	0	0	0	NaN	0	1450599.3	12363.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	6500.6	3844.5	528	512	0	0	0	0	NaN	0	1120719	8251.8
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	6514.7	3960.2	1073	528	0	0	0	0	NaN	0	835167.1	6745.6
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Paraflocculus	PFL	Hemispheric regions	Polygon	7432.7	3850	1041	1073	0	0	0	0	NaN	0	28.74	23.64
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Flocculus	FL	Hemispheric regions	Geometry	6260.7	4424.2	1049	1073	0	0	0	0	NaN	0	534927	4215.3
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	6967.3	3133.3	1007	1073	0	0	0	0	NaN	0	300211.3	2524.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Cerebellar cortex	Geometry	6459.2	3506.3	645	528	0	0	0	0	NaN	0	285551.9	3016.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Geometry	6459.2	3506.3	928	645	0	0	0	0	NaN	0	285551.9	3016.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	6459.2	3506.3	1091	928	0	0	0	0	NaN	0	285551.9	3016.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Brain stem	BS	Image	Geometry	4471.1	3648.4	343	8	0	2927	432	2495	85.24	103.28	24156516.7	60904.9
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Hindbrain	HB	Brain stem	Geometry	4537.9	5069	1065	343	0	10	1	9	90	0.7457	12069194.5	47969.2
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Pons	P	Hindbrain	Geometry	4496.9	5022.5	771	1065	0	10	1	9	90	0.7973	11287545	40979
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4405.9	4442.1	1117	771	0	7	1	6	85.71	4.415	1358974.5	10787.9
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Pontine reticular nucleus	PRNr	Pons, behavioral state related	Geometry	4328.2	4563.9	146	1117	0	0	0	0	NaN	0	784796	5393.1
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Laterodorsal tegmental nucleus	LDT	Pons, behavioral state related	Geometry	4572.8	3145.5	162	1117	0	7	1	6	85.71	37.51	159975.9	2188.5
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Superior central nucleus raphe	CS	Pons, behavioral state related	Geometry	4485.3	4739.9	679	1117	0	0	0	0	NaN	0	240197.8	4193.7
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Polygon	4493	4673.5	238	1117	0	0	0	0	NaN	0	174004.1	2122.3
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	4596.4	4991.2	1132	771	0	0	0	0	NaN	0	3564024.1	22257.3
JKAY22.5d_3_Scan2_[7787,39235]_component_data_merged_Region 1.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Geometry	4544.2	5105.1	7	1132	0	0	0	0	NaN	0	1063274.4	6454.2
