Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Area µm^2	Perimeter µm
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	ventricular systems	VS	Image	Geometry	4465.7	2218.6	73	997	0	522922.7	5852.8
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cerebral aqueduct	AQ	ventricular systems	Geometry	4470.5	2192.4	140	73	0	502184.3	5782.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	fourth ventricle	V4	ventricular systems	Geometry	4348.8	2857.7	145	73	0	20738.8	810.51
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	fiber tracts	fiber tracts	Image	Geometry	3828.6	4737	1009	997	0	3168792.4	53312.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cerebellum related fiber tracts	cbf	fiber tracts	Geometry	3292.8	3583.2	960	1009	0	1360656	25348.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	arbor vitae	arb	cerebellum related fiber tracts	Geometry	1994.3	3291.1	728	960	0	549573	16888.1
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cerebellar peduncles	cbp	cerebellum related fiber tracts	Geometry	4172.7	3781.1	752	960	0	811083	14329.4
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	superior cerebelar peduncles	scp	cerebellar peduncles	Geometry	4036	3654.7	326	752	0	414740	10654.8
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	ventral spinocerebellar tract	sctv	superior cerebelar peduncles	Geometry	4566.3	4962.9	866	326	0	90727.1	4065
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	4315.6	3913.4	78	752	0	396343	3674.5
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cranial nerves	cm	fiber tracts	Geometry	4266.8	5515.1	967	1009	0	1366014.2	24236
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	dorsal roots	drt	cranial nerves	Geometry	4081	6126.2	792	967	0	131097.3	2000.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cervicothalamic tract	cett	dorsal roots	Geometry	4081	6126.2	932	792	0	131097.3	2000.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	medial lemniscus	ml	cervicothalamic tract	Geometry	4081	6126.2	697	932	0	131097.3	2000.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	facial nerve	VIIn	cranial nerves	Geometry	2177.5	5473.7	798	967	0	40112.6	925.01
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	oculomotor nerve	IIIn	cranial nerves	Geometry	4168.7	4115	832	967	0	24620.2	1133.4
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	medial longitudinal fascicle	mlf	oculomotor nerve	Geometry	4168.7	4115	62	832	0	24620.2	1133.4
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	trigeminal nerve	Vn	cranial nerves	Geometry	4769.9	5310.2	901	967	0	476057.5	5939.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	sensory root of the trigeminal nerve	sV	trigeminal nerve	Geometry	4769.9	5310.2	229	901	0	476057.5	5939.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	spinal tract of the trigeminal nerve	sptV	sensory root of the trigeminal nerve	Geometry	4769.9	5310.2	794	229	0	476057.5	5939.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	trochlear nerve	IVn	cranial nerves	Geometry	4393.7	2767.4	911	967	0	5615.6	404.71
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	vestibulocochlear nerve	VIIIn	cranial nerves	Geometry	4078.5	5615.3	933	967	0	688511.2	18153.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	vestibular nerve	vVIIIn	vestibulocochlear nerve	Geometry	2785.6	4912.6	413	933	0	142381.8	2877
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	cochlear nerve	cVIIIn	vestibulocochlear nerve	Geometry	4415.6	5798.6	948	933	0	546129.4	15276.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	trapezoid body	tb	cochlear nerve	Geometry	4235.7	6265.9	841	948	0	489778.6	12441.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	brachium of the inferior colliculus	bic	cochlear nerve	Geometry	5979.3	1736.3	482	948	0	56350.8	2834.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	lateral forebrain bundle system	lfbs	fiber tracts	Geometry	4077.3	6486.9	983	1009	0	217568	2709.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	corticospinal tract	cst	lateral forebrain bundle system	Geometry	4077.3	6486.9	784	983	0	217568	2709.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	pyramid	py	corticospinal tract	Geometry	4077.3	6486.9	190	784	0	217568	2709.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 2.ome.tif	extrapyramidal fiber systems	eps	fiber tracts	Geometry	4167.7	5299.9	1000	1009	0	224554.1	4914.2
