Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	root	root	Image	Geometry	4242	3481.1	997	0	0	9204	8235	969	10.53	27.75	34914039.1	42765
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Basic cell groups and regions	grey	root	Geometry	4232.7	3393.9	8	997	0	9138	8173	965	10.56	31.57	30570378.3	92530.4
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	1881.8	3272.7	512	8	0	0	0	0	NaN	0	1780153.9	12634.2
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Cerebellar cortex	CBX	Cerebellum	Geometry	1523.8	3154	528	512	0	0	0	0	NaN	0	1495076.5	7711.9
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Hemispheric regions	HEM	Cerebellar cortex	Geometry	1350	3240.4	1073	528	0	0	0	0	NaN	0	967211.4	6637.9
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Paraflocculus	PFL	Hemispheric regions	Geometry	1239.6	3412	1041	1073	0	0	0	0	NaN	0	24807.1	915.65
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Flocculus	FL	Hemispheric regions	Polygon	1101.4	4020.9	1049	1073	0	0	0	0	NaN	0	456299.4	2900.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Simple lobule	SIM	Hemispheric regions	Geometry	1589.3	2498.7	1007	1073	0	0	0	0	NaN	0	486105.8	3387.7
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Cerebellar cortex	Polygon	1842.7	2995.3	645	528	0	0	0	0	NaN	0	527865	2981.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Polygon	1842.7	2995.3	928	645	0	0	0	0	NaN	0	527865	2981.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Polygon	1842.7	2995.3	1091	928	0	0	0	0	NaN	0	527865	2981.1
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5800.5	2768.7	567	8	0	0	0	0	NaN	0	6997286.9	20835.2
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5800.5	2768.7	688	567	0	0	0	0	NaN	0	6997286.9	20835.2
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5800.5	2768.7	695	688	0	0	0	0	NaN	0	6997286.9	20835.2
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	6314.7	1486.1	315	695	0	0	0	0	NaN	0	1921278.4	10082.7
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	6368.7	1526	669	315	0	0	0	0	NaN	0	1608218.6	10662.8
JKAY23.5d_3_Scan1_[5642,42684]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Polygon	7705.5	2088.7	312782628	669	0	0	0	0	NaN	0	271044.1	2613
