Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	root	root	Image	Geometry	5136.5	3629.9	997	0	0	866	138	728	84.06	15.19	47915923.7	41033.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Basic cell groups and regions	grey	root	Geometry	5159.1	3520.3	8	997	0	866	138	728	84.06	17.31	42059052.8	103394.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3723.5	5387.9	512	8	0	0	0	0	NaN	0	99886.2	5350.3
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5302.2	3222.8	567	8	0	0	0	0	NaN	0	21969173.7	53652.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5302.2	3222.8	688	567	0	0	0	0	NaN	0	21969173.7	53652.9
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5286.5	3208.1	695	688	0	0	0	0	NaN	0	21843193.1	54780.7
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	4551.5	3961.3	1089	695	0	0	0	0	NaN	0	11704851.1	33797.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	7697.4	4478.1	1080	1089	0	0	0	0	NaN	0	3110982.5	11446.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	6896.8	4393.1	726	1080	0	0	0	0	NaN	0	1589445.7	8284.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	7744.2	4505.6	632	726	0	0	0	0	NaN	0	262108.3	5786.7
