Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Num Detections	Num Negative	Num Positive	Positive %	Num Positive per mm^2	Area µm^2	Perimeter µm
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	root	root	Image	Geometry	5265.4	3845.2	997	0	0	240	231	9	3.75	0.1793	50188191	38552.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Basic cell groups and regions	grey	root	Geometry	5279.3	3742.4	8	997	0	240	231	9	3.75	0.202	44558238.8	101865.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Cerebellum	CB	Basic cell groups and regions	Geometry	3400.8	6044.5	512	8	0	0	0	0	NaN	0	138921.2	4554.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Cerebrum	CH	Basic cell groups and regions	Geometry	5372	3546.1	567	8	0	0	0	0	NaN	0	24984022.4	59916.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	5372	3546.1	688	567	0	0	0	0	NaN	0	24984022.4	59916.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	5349	3527.8	695	688	0	0	0	0	NaN	0	24790395.2	61002.8
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	4800.4	4208.5	1089	695	0	0	0	0	NaN	0	14434778.6	34985.6
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Hippocampal region	HIP	Hippocampal formation	Geometry	6860.8	4356.7	1080	1089	0	0	0	0	NaN	0	5833769	15169.4
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Dentate gyrus	DG	Hippocampal region	Geometry	5052.1	4233	726	1080	0	0	0	0	NaN	0	2851226.9	15240.2
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 2.ome.tif	Dentate gyrus, granule cell layer	DG-sg	Dentate gyrus	Geometry	5737.4	4505.8	632	726	0	0	0	0	NaN	0	534324.6	11085.9
