Image	Name	Class	Parent	ROI
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
JKAY23.5d_2_Scan1_[3819,46070]_component_data_merged_Region 3.ome.tif	Negative	Negative	dmPAG	Polygon
