Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Allen ID	Parent Allen ID	Side	Area µm^2	Perimeter µm
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Vermal regions	VERM	Image	Geometry	3908.3	2473.8	645	528	0	3476689	16452.5
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Central lobule	CENT	Vermal regions	Geometry	3580.7	2322.1	920	645	0	2008800.9	8142.5
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Lobule II	CENT2	Central lobule	Polygon	3927.3	2261.7	976	920	0	1579569	5334.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Lobule III	CENT3	Central lobule	Geometry	2304.8	2545.8	984	920	0	429231.6	3442.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Culmen	CUL	Vermal regions	Geometry	4357	2680.7	928	645	0	1467888.6	10487.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Lobules IV-V	CUL4, 5	Culmen	Geometry	4357	2680.7	1091	928	0	1467888.6	10487.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	cerebellar peduncles	cbp	Image	Geometry	3651.3	3535	752	960	0	871695.4	13443.1
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	superior cerebelar peduncles	scp	cerebellar peduncles	Geometry	3757.5	3503.1	326	752	0	451975.9	9786
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	ventral spinocerebellar tract	sctv	superior cerebelar peduncles	Geometry	4204.2	4639.6	866	326	0	104590.3	4167.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	middle cerebellar peduncle	mcp	cerebellar peduncles	Geometry	3537.1	3569.2	78	752	0	419690.2	3657.1
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	inferior cerebellar peduncle	icp	cerebellar peduncles	Polygon	1379.8	3640.2	1123	752	0	29.25	31.76
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Cerebrum	CH	Image	Geometry	8161.6	3025	567	8	0	1918897	6770.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Cerebral cortex	CTX	Cerebrum	Geometry	8161.6	3025	688	567	0	1918897	6770.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Cortical plate	CTXpl	Cerebral cortex	Geometry	8161.6	3025	695	688	0	1918897	6770.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Isocortex	Isocortex	Cortical plate	Geometry	7858.6	1906.8	315	695	0	86808.1	1770.7
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Visual areas	VIS	Isocortex	Geometry	7858.6	1906.8	669	315	0	86808.1	1770.7
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Postrhinal area	VISpor	Visual areas	Geometry	8486.5	2319.5	312782628	669	0	100.37	63.45
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Postrhinal area, layer 1	VISpor1	Postrhinal area	Geometry	8486.5	2319.5	312782632	312782628	0	100.37	63.45
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Posterolateral visual area	VISpl	Visual areas	Polygon	7858.3	1906	425	669	0	86707.5	1707.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Posterolateral visual area, layer 1	VISpl1	Posterolateral visual area	Polygon	7858.3	1906	750	425	0	86707.5	1707.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Hippocampal formation	HPF	Cortical plate	Geometry	8175.9	3078	1089	695	0	1832088.9	6385.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Retrohippocampal region	RHP	Hippocampal formation	Geometry	8175.9	3078	822	1089	0	1832088.9	6385.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Parasubiculum	PAR	Retrohippocampal region	Polygon	8011.1	2138.1	843	822	0	169599.3	2189.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Entorhinal area	ENT	Retrohippocampal region	Geometry	8192.7	3173.9	909	822	0	1662490.5	5891.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone	ENTm	Entorhinal area	Geometry	8192.7	3173.9	926	909	0	1662490.5	5891.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 1	ENTm1	Entorhinal area, medial part, dorsal zone	Geometry	8177.9	3188.1	526	926	0	1171476	9053.7
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Entorhinal area, medial part, dorsal zone, layer 2	ENTm2	Entorhinal area, medial part, dorsal zone	Geometry	8228.4	3139.3	543	926	0	490883.6	3162.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Brain stem	BS	Image	Geometry	4032.2	3531.7	343	8	0	22237240.8	61257.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Hindbrain	HB	Brain stem	Geometry	3899.4	4517.5	1065	343	0	15446923.2	50034.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Pons	P	Hindbrain	Geometry	4051.7	4407.9	771	1065	0	13171197.2	39545.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Pons, behavioral state related	P-sat	Pons	Geometry	4047.8	3459.1	1117	771	0	694113.1	7771.3
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Nucleus incertus	NI	Pons, behavioral state related	Polygon	3971.9	3746.9	604	1117	0	220396.8	2520.9
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Laterodorsal tegmental nucleus	LDT	Pons, behavioral state related	Geometry	4112.6	3154.3	162	1117	0	390981	3441.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Nucleus raphe pontis	RPO	Pons, behavioral state related	Geometry	3944.4	4132.6	238	1117	0	82735.3	1808.8
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Pons, sensory related	P-sen	Pons	Geometry	4020.7	4344.5	1132	771	0	3594754.7	26729.7
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Principal sensory nucleus of the trigeminal	PSV	Pons, sensory related	Geometry	4024.4	4656	7	1132	0	1162112.5	7486.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Parabrachial nucleus	PB	Pons, sensory related	Geometry	3930.4	3277.4	867	1132	0	1589588.6	15191.1
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Koelliker-Fuse subnucleus	KF	Parabrachial nucleus	Geometry	3547.4	3710.9	123	867	0	310863.7	3360.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Superior olivary complex	SOC	Pons, sensory related	Geometry	4186	5927.2	398	1132	0	843053.6	5562.1
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Superior olivary complex, medial part	SOCm	Superior olivary complex	Geometry	4048.8	5943.8	105	398	0	228262.7	2649
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Superior olivary complex, lateral part	SOCl	Superior olivary complex	Geometry	4230.1	5813.9	114	398	0	405147.8	3287.2
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Superior olivary complex, periolivary region	POR	Superior olivary complex	Geometry	4250.1	6128	122	398	0	209643.1	3464.6
JKAY23.5d_3_Scan1_[4447,32530]_component_data_merged_Region 1.ome.tif	Pons, motor related	P-mot	Pons	Geometry	4105.5	4533.4	987	771	0	6102336.6	29494.6
