Region,Global slice index,TRAPed_alsoVgat,TRAPed_alsoVglut
dmPAG,Slice 0,,0.0
dlPAG,Slice 0,0.0,0.0
lPAG,Slice 0,0.0,0.0
vlPAG,Slice 0,0.0,1.16
dmPAG,Slice 1,0.0,1.14
dlPAG,Slice 1,0.0,0.0
lPAG,Slice 1,0.0,0.0
vlPAG,Slice 1,0.0,0.0
dmPAG,Slice 2,0.0,0.0
dlPAG,Slice 2,0.0,0.69
lPAG,Slice 2,0.0,0.0
vlPAG,Slice 2,0.0,0.0
dmPAG,Slice 2,0.0,0.0
dlPAG,Slice 2,0.0,0.0
lPAG,Slice 2,0.0,0.0
vlPAG,Slice 2,0.0,0.0
dmPAG,Slice 3,0.0,1.23
dlPAG,Slice 3,0.0,0.55
lPAG,Slice 3,0.0,0.53
vlPAG,Slice 3,0.59,0.43
dmPAG,Slice 3,0.0,1.31
dlPAG,Slice 3,0.0,1.15
lPAG,Slice 3,0.28,1.11
vlPAG,Slice 3,0.59,1.4
dmPAG,Slice 4,1.22,0.96
dlPAG,Slice 4,0.24,1.1
lPAG,Slice 4,2.94,0.91
vlPAG,Slice 4,0.54,1.03
dmPAG,Slice 5,0.85,1.16
dlPAG,Slice 5,0.0,1.18
lPAG,Slice 5,0.14,1.06
vlPAG,Slice 5,0.55,1.1
dmPAG,Slice 6,0.15,1.17
dlPAG,Slice 6,0.45,1.07
lPAG,Slice 6,0.46,1.05
vlPAG,Slice 6,1.02,0.95
dmPAG,Slice 6,0.44,1.01
dlPAG,Slice 6,0.57,1.05
lPAG,Slice 6,1.03,0.97
vlPAG,Slice 6,0.89,0.97
dmPAG,Slice 7,0.71,1.09
dlPAG,Slice 7,0.55,1.09
lPAG,Slice 7,0.38,1.05
vlPAG,Slice 7,0.84,1.01
dmPAG,Slice 8,0.73,1.14
dlPAG,Slice 8,0.72,1.07
lPAG,Slice 8,0.63,1.05
vlPAG,Slice 8,0.84,1.03
dmPAG,Slice 9,0.71,0.99
dlPAG,Slice 9,0.79,0.91
lPAG,Slice 9,0.46,0.89
vlPAG,Slice 9,0.44,0.68
dmPAG,Slice 9,0.63,0.84
dlPAG,Slice 9,0.56,0.82
lPAG,Slice 9,0.52,0.82
vlPAG,Slice 9,0.48,0.59
dmPAG,Slice 10,0.73,1.01
dlPAG,Slice 10,0.77,0.97
lPAG,Slice 10,0.83,0.93
vlPAG,Slice 10,0.62,0.86
dmPAG,Slice 11,0.45,1.02
dlPAG,Slice 11,0.88,0.94
lPAG,Slice 11,0.74,0.91
vlPAG,Slice 11,0.69,0.76
dmPAG,Slice 11,0.59,1.04
dlPAG,Slice 11,0.66,0.77
lPAG,Slice 11,0.67,1.05
vlPAG,Slice 11,0.77,0.93
dmPAG,Slice 12,0.58,1.1
dlPAG,Slice 12,1.01,0.98
lPAG,Slice 12,0.78,0.99
vlPAG,Slice 12,0.79,0.76
